n,m,p,it,diff,ns
2,0,0.6,50,0,311490
2,0,0.6,50,0,281807
2,0,0.6,50,0,283483
2,0,0.6,50,0,282365
2,0,0.6,50,0,282645
2,0,0.6,50,0,282226
2,0,0.6,50,0,282436
2,0,0.6,50,0,294588
2,0,0.6,50,0,283414
2,0,0.6,50,0,282505
3,0,0.6,50,0,318334
3,0,0.6,50,0,292772
3,0,0.6,50,0,291864
3,0,0.6,50,0,293540
3,0,0.6,50,0,292772
3,0,0.6,50,0,290956
3,0,0.6,50,0,292213
3,0,0.6,50,0,293331
3,0,0.6,50,0,291585
3,0,0.6,50,0,293540
3,1,0.6,50,0,367711
3,1,0.6,50,0,349343
3,1,0.6,50,0,337959
3,1,0.6,50,0,332511
3,1,0.6,50,0,342638
3,1,0.6,50,0,333838
3,1,0.6,50,0,335375
3,1,0.6,50,0,346130
3,1,0.6,50,0,338169
3,1,0.6,50,0,331464
4,0,0.6,50,0,324410
4,0,0.6,50,0,296334
4,0,0.6,50,0,296614
4,0,0.6,50,0,305763
4,0,0.6,50,0,296963
4,0,0.6,50,0,295844
4,0,0.6,50,0,297382
4,0,0.6,50,0,297452
4,0,0.6,50,0,296194
4,0,0.6,50,0,298220
4,1,0.6,50,0,357445
4,1,0.6,50,0,342778
4,1,0.6,50,0,344803
4,1,0.6,50,0,331673
4,1,0.6,50,0,341172
4,1,0.6,50,0,345083
4,1,0.6,50,0,330695
4,1,0.6,50,0,342079
4,1,0.6,50,0,345082
4,1,0.6,50,0,334886
4,2,0.6,50,0,658947
4,2,0.6,50,0,618649
4,2,0.6,50,0,631359
4,2,0.6,50,0,637505
4,2,0.6,50,0,620673
4,2,0.6,50,0,632337
4,2,0.6,50,0,634433
4,2,0.6,50,0,632198
4,2,0.6,50,0,634363
4,2,0.6,50,0,634293
4,3,0.6,50,0,1158866
4,3,0.6,50,0,1101666
4,3,0.6,50,0,1100339
4,3,0.6,50,0,1107743
4,3,0.6,50,0,1100270
4,3,0.6,50,0,1101526
4,3,0.6,50,0,1098872
4,3,0.6,50,0,1104041
4,3,0.6,50,0,1098523
4,3,0.6,50,0,1096638
5,0,0.6,50,0,335585
5,0,0.6,50,0,308067
5,0,0.6,50,0,309743
5,0,0.6,50,0,315679
5,0,0.6,50,0,307788
5,0,0.6,50,0,308137
5,0,0.6,50,0,309115
5,0,0.6,50,0,307020
5,0,0.6,50,0,308137
5,0,0.6,50,0,307997
5,1,0.6,50,0,369178
5,1,0.6,50,0,329927
5,1,0.6,50,0,340613
5,1,0.6,50,0,343406
5,1,0.6,50,0,336353
5,1,0.6,50,0,343407
5,1,0.6,50,0,341800
5,1,0.6,50,0,338028
5,1,0.6,50,0,340403
5,1,0.6,50,0,341800
5,2,0.6,50,0,470027
5,2,0.6,50,0,406543
5,2,0.6,50,0,406333
5,2,0.6,50,0,435736
5,2,0.6,50,0,407800
5,2,0.6,50,0,413666
5,2,0.6,50,0,438530
5,2,0.6,50,0,408148
5,2,0.6,50,0,407380
5,2,0.6,50,0,407032
5,3,0.6,50,0,866722
5,3,0.6,50,0,834805
5,3,0.6,50,0,819091
5,3,0.6,50,0,811688
5,3,0.6,50,0,815529
5,3,0.6,50,0,812317
5,3,0.6,50,0,870913
5,3,0.6,50,0,780889
5,3,0.6,50,0,873148
5,3,0.6,50,0,791504
5,4,0.6,50,0,882017
5,4,0.6,50,0,875033
5,4,0.6,50,0,882227
5,4,0.6,50,0,895287
5,4,0.6,50,0,863161
5,4,0.6,50,0,856945
5,4,0.6,50,0,851567
5,4,0.6,50,0,865046
5,4,0.6,50,0,885230
5,4,0.6,50,0,797371
5,5,0.6,50,0,2264444
5,5,0.6,50,0,2213320
5,5,0.6,50,0,2229943
5,5,0.6,50,0,2219186
5,5,0.6,50,0,2231688
5,5,0.6,50,0,2220584
5,5,0.6,50,0,2219675
5,5,0.6,50,0,2214786
5,5,0.6,50,0,2216043
5,5,0.6,50,0,2230222
6,0,0.6,50,0,337679
6,0,0.6,50,0,313514
6,0,0.6,50,0,310441
6,0,0.6,50,0,310022
6,0,0.6,50,0,311349
6,0,0.6,50,0,313026
6,0,0.6,50,0,312817
6,0,0.6,50,0,310931
6,0,0.6,50,0,309953
6,0,0.6,50,0,319451
6,1,0.6,50,0,385940
6,1,0.6,50,0,357934
6,1,0.6,50,0,358911
6,1,0.6,50,0,353394
6,1,0.6,50,0,348993
6,1,0.6,50,0,354511
6,1,0.6,50,0,359610
6,1,0.6,50,0,358213
6,1,0.6,50,0,354930
6,1,0.6,50,0,351298
6,2,0.6,50,0,421209
6,2,0.6,50,0,344524
6,2,0.6,50,0,352346
6,2,0.6,50,0,353463
6,2,0.6,50,0,354651
6,2,0.6,50,0,344594
6,2,0.6,50,0,353952
6,2,0.6,50,0,353882
6,2,0.6,50,0,355769
6,2,0.6,50,0,344245
6,3,0.6,50,0,568713
6,3,0.6,50,0,503830
6,3,0.6,50,0,504668
