n,m,ns
2,1,33592
2,1,15224
2,1,13688
2,1,13688
2,1,13269
2,1,13060
2,1,13059
2,1,13129
2,1,13059
2,1,13409
2,1,13409
2,1,13548
2,1,13060
2,1,12850
2,1,13269
2,1,13059
2,1,12850
2,1,13060
2,1,12989
2,1,12920
2,1,13060
2,1,12850
2,1,12920
2,1,13408
2,1,13548
2,1,34500
2,1,12850
2,1,12990
2,1,13199
2,1,12990
2,1,13060
2,1,13199
2,1,13130
2,1,13199
2,1,12920
2,1,14247
2,1,12850
2,1,12780
2,1,13059
2,1,12920
2,1,13130
2,1,12850
2,1,12990
2,1,12920
2,1,13060
2,1,13129
2,1,13269
2,1,13059
2,1,12850
2,1,12920
2,1,12990
2,1,13338
2,1,13339
2,1,12920
2,1,13060
2,1,12850
2,1,13129
2,1,13409
2,1,13338
2,1,12990
2,1,13618
2,1,13129
2,1,13270
2,1,12920
2,1,13478
2,1,13060
2,1,13130
2,1,13269
2,1,12989
2,1,12990
2,1,12989
2,1,13060
2,1,13898
2,1,12850
2,1,13479
2,1,12920
2,1,12850
2,1,13339
2,1,13199
2,1,12990
2,1,13339
2,1,12850
2,1,13479
2,1,12920
2,1,14526
2,1,12989
2,1,13059
2,1,13688
2,1,12920
2,1,13060
2,1,12780
2,1,12990
2,1,13548
2,1,13688
2,1,12920
2,1,13270
2,1,13548
2,1,12780
2,1,12990
2,1,12990
3,3,39179
3,3,34919
3,3,35897
3,3,32963
3,3,32544
3,3,32683
3,3,32824
3,3,32335
3,3,32544
3,3,32684
3,3,32055
3,3,33871
3,3,32335
3,3,32684
3,3,32404
3,3,32614
3,3,33033
3,3,32894
3,3,32335
3,3,32545
3,3,33103
3,3,32614
3,3,32544
3,3,32753
3,3,32754
3,3,32754
3,3,31985
3,3,32265
3,3,32195
3,3,32335
3,3,32125
3,3,32475
3,3,31916
3,3,32544
3,3,32125
3,3,33103
3,3,32125
3,3,32405
3,3,31985
3,3,34779
3,3,32265
3,3,34151
3,3,34151
3,3,34221
3,3,33592
3,3,34291
3,3,33941
3,3,33662
3,3,34570
3,3,32614
3,3,32963
3,3,32683
3,3,32474
3,3,32195
3,3,32125
3,3,31915
3,3,32265
3,3,32195
3,3,32544
3,3,32265
3,3,32614
3,3,32265
3,3,57547
3,3,27097
3,3,26398
3,3,26398
3,3,26538
3,3,26538
3,3,27027
3,3,26539
3,3,26538
3,3,26748
3,3,26818
3,3,26748
3,3,26608
3,3,26887
3,3,27376
3,3,27027
3,3,27027
3,3,26678
3,3,26957
3,3,26259
3,3,26469
3,3,27027
3,3,26888
3,3,26608
3,3,26259
3,3,26958
3,3,27446
3,3,26748
3,3,26957
3,3,26888
3,3,26887
3,3,28633
3,3,27097
3,3,27028
3,3,26538
3,3,26468
3,3,26817
3,3,26748
4,6,62015
4,6,64600
4,6,65438
4,6,63203
4,6,60549
4,6,59013
4,6,58454
4,6,58664
4,6,60479
4,6,58524
4,6,58594
4,6,58663
4,6,59082
4,6,61596
4,6,59083
4,6,58873
4,6,60270
4,6,58803
4,6,61876
4,6,58035
4,6,60828
4,6,58733
4,6,58943
4,6,60479
4,6,59362
4,6,58664
4,6,60619
4,6,60479
4,6,60619
4,6,60968
4,6,59362
4,6,60130
4,6,58105
4,6,62156
4,6,58873
4,6,58175
4,6,58244
4,6,60479
4,6,60200
4,6,60340
4,6,58105
4,6,78009
4,6,59223
4,6,58873
4,6,59292
4,6,59012
4,6,59222
4,6,61248
4,6,58384
4,6,59153
4,6,62644
4,6,60898
4,6,60759
4,6,60828
4,6,60479
4,6,60689
4,6,57965
4,6,60200
4,6,59362
4,6,59781
4,6,59292
4,6,61178
4,6,61457
4,6,60689
4,6,61317
4,6,59292
4,6,60688
4,6,60619
4,6,58873
4,6,58174
4,6,59292
4,6,59991
4,6,60968
4,6,59641
4,6,61876
4,6,60829
4,6,58943
4,6,63064
4,6,59082
4,6,61526
4,6,59502
4,6,58663
4,6,60759
4,6,58943
4,6,59013
4,6,59711
4,6,59222
4,6,63203
4,6,58175
4,6,58454
4,6,60479
4,6,60269
4,6,60549
4,6,58663
4,6,61318
4,6,58873
4,6,58524
4,6,60759
4,6,59711
4,6,61108
5,10,150849
5,10,135415
5,10,136952
5,10,137510
5,10,134856
5,10,138208
5,10,133599
5,10,134368
5,10,131294
5,10,129129
5,10,133599
5,10,132202
5,10,135625
5,10,131713
5,10,131783
5,10,132411
5,10,134716
5,10,129549
5,10,132133
5,10,131504
5,10,138209
5,10,130456
5,10,131224
5,10,130107
5,10,133808
5,10,133460
5,10,133459
5,10,141701
5,10,131225
5,10,166004
5,10,111670
5,10,110692
5,10,110204
5,10,110553
5,10,110134
5,10,110553
5,10,114464
5,10,110204
5,10,111600
5,10,111251
5,10,113137
5,10,113416
5,10,109086
5,10,110972
5,10,112299
5,10,109994
5,10,111111
5,10,112159
5,10,111531
5,10,109924
5,10,111949
5,10,110623
5,10,111041
5,10,110623
5,10,111809
5,10,110763
5,10,114185
5,10,110902
5,10,110902
5,10,108946
5,10,114324
5,10,112787
5,10,109924
5,10,116070
5,10,109086
5,10,109086
5,10,111530
5,10,107899
5,10,110902
5,10,109924
5,10,111182
5,10,111810
5,10,112927
5,10,112857
5,10,110762
5,10,110902
5,10,112089
5,10,110483
5,10,109715
5,10,110343
5,10,111530
5,10,113695
5,10,112997
5,10,113905
5,10,115931
5,10,112089
5,10,115371
5,10,109854
5,10,112159
5,10,111880
5,10,109435
5,10,110413
5,10,109017
5,10,108877
5,10,111251
5,10,112509
5,10,113835
5,10,111740
5,10,114464
5,10,114812
6,15,242266
6,15,237866
6,15,241149
6,15,232279
6,15,232000
6,15,237099
6,15,233606
6,15,239264
6,15,240590
6,15,239054
6,15,238984
6,15,235841
6,15,237937
6,15,238216
6,15,238076
6,15,248551
6,15,220337
6,15,219639
6,15,220547
6,15,216496
6,15,220896
6,15,220546
6,15,219989
6,15,219429
6,15,216496
6,15,213004
6,15,216985
6,15,215099
6,15,215519
6,15,218801
6,15,213424
6,15,215938
6,15,220965
6,15,221245
6,15,212515
6,15,215449
6,15,214540
6,15,214750
6,15,218452
6,15,215658
6,15,213702
6,15,215170
6,15,216566
6,15,217753
6,15,215589
6,15,213703
6,15,213214
6,15,214471
6,15,217264
6,15,215309
6,15,217544
6,15,222432
6,15,216147
6,15,215309
6,15,215169
6,15,212446
6,15,216635
6,15,215867
6,15,214332
6,15,216286
6,15,219150
