n,m,ns
2,0,26120
2,0,11105
2,0,9289
2,0,9778
2,0,9708
2,0,8939
2,0,9708
2,0,9987
2,0,8870
2,0,9498
2,0,9708
2,0,9428
2,0,9219
2,0,10057
2,0,8451
2,0,8870
2,0,9708
2,0,9498
2,0,9428
2,0,9358
2,0,9429
2,0,9498
2,0,9358
2,0,9359
2,0,9429
2,0,9289
2,0,9288
2,0,9498
2,0,8869
2,0,9359
2,0,9079
2,0,9429
2,0,9568
2,0,9568
2,0,9359
2,0,9568
2,0,8660
2,0,9359
2,0,9289
2,0,9358
2,0,9358
2,0,8730
2,0,9288
2,0,9568
2,0,8800
2,0,9498
2,0,9358
2,0,9219
2,0,9498
2,0,9289
2,0,9498
2,0,9428
2,0,9358
2,0,9568
2,0,9498
2,0,9289
2,0,8591
2,0,9428
2,0,9359
2,0,9499
2,0,9429
2,0,9429
2,0,9429
2,0,9358
2,0,9009
2,0,9358
2,0,8940
2,0,9359
2,0,9289
2,0,9428
2,0,9428
2,0,9638
2,0,9358
2,0,9498
2,0,9358
2,0,9499
2,0,9568
2,0,9638
2,0,9358
2,0,9568
2,0,9358
2,0,9359
2,0,9359
2,0,9428
2,0,9289
2,0,9498
2,0,9289
2,0,9080
2,0,9429
2,0,8870
2,0,9638
2,0,9429
2,0,9429
2,0,9568
2,0,9499
2,0,9429
2,0,9569
2,0,9359
2,0,9359
2,0,9428
2,1,11105
2,1,9778
2,1,10755
2,1,9499
2,1,9149
2,1,10686
2,1,9498
2,1,9009
2,1,9009
2,1,9499
2,1,8800
2,1,8870
2,1,9778
2,1,9638
2,1,9568
2,1,8869
2,1,9638
2,1,9708
2,1,9498
2,1,9638
2,1,9638
2,1,9708
2,1,9638
2,1,9708
2,1,9638
2,1,9568
2,1,9568
2,1,9708
2,1,9428
2,1,9638
2,1,9498
2,1,9638
2,1,9568
2,1,9498
2,1,9568
2,1,9708
2,1,9498
2,1,8870
2,1,8660
2,1,8870
2,1,9498
2,1,9568
2,1,9080
2,1,9708
2,1,9150
2,1,9917
2,1,9568
2,1,9568
2,1,9638
2,1,9009
2,1,9638
2,1,9848
2,1,9428
2,1,9568
2,1,9638
2,1,9638
2,1,9359
2,1,9707
2,1,9568
2,1,9777
2,1,9428
2,1,9498
2,1,9638
2,1,9638
2,1,9568
2,1,9569
2,1,9568
2,1,9568
2,1,9638
2,1,9568
2,1,9708
2,1,9499
2,1,9499
2,1,9708
2,1,9568
2,1,9568
2,1,8869
2,1,9568
2,1,9568
2,1,9568
2,1,9498
2,1,9638
2,1,9569
2,1,9568
2,1,9638
2,1,9499
2,1,9499
2,1,9638
2,1,9568
2,1,9498
2,1,9638
2,1,9778
2,1,9708
2,1,9498
2,1,9707
2,1,9638
2,1,9568
2,1,9638
2,1,9568
2,1,9848
3,0,15854
3,0,14038
3,0,13060
3,0,13060
3,0,13619
3,0,12780
3,0,13618
3,0,13828
3,0,12362
3,0,13339
3,0,13549
3,0,13130
3,0,13480
3,0,13619
3,0,12780
3,0,13619
3,0,13618
3,0,13339
3,0,13689
3,0,13340
3,0,13270
3,0,13340
3,0,13479
3,0,13480
3,0,13340
3,0,13480
3,0,13410
3,0,12780
3,0,13060
3,0,13479
3,0,13410
3,0,13340
3,0,13689
3,0,13688
3,0,13828
3,0,12571
3,0,13339
3,0,13409
3,0,13549
3,0,13409
3,0,13339
3,0,13479
3,0,13130
3,0,12711
3,0,13410
3,0,13479
3,0,13339
3,0,13479
3,0,13479
3,0,14946
3,0,13829
3,0,13619
3,0,13619
3,0,13479
3,0,13410
3,0,13340
3,0,13270
3,0,12711
3,0,13409
3,0,13269
3,0,13340
3,0,13410
3,0,13759
3,0,13549
3,0,13409
3,0,13479
3,0,13409
3,0,13479
3,0,13200
3,0,13479
3,0,13689
3,0,13619
3,0,13549
3,0,13619
3,0,13200
