n,m,p,it,ns
2,1,0.1,1,22559
2,1,0.1,1,17181
2,1,0.1,1,16552
2,1,0.1,1,15644
2,1,0.1,1,16273
2,1,0.1,1,16134
2,1,0.1,1,16343
2,1,0.1,1,15575
2,1,0.1,1,17180
2,1,0.1,1,14457
2,1,0.1,1,14807
2,1,0.1,1,15295
2,1,0.1,1,15854
2,1,0.1,1,15993
2,1,0.1,1,15295
2,1,0.1,1,15993
2,1,0.1,1,16133
2,1,0.1,1,15993
2,1,0.1,1,16063
2,1,0.1,1,15435
2,1,0.1,1,15505
2,1,0.1,1,15923
2,1,0.1,1,15854
2,1,0.1,1,16203
2,1,0.1,1,15435
2,1,0.1,1,15434
2,1,0.1,1,15225
2,1,0.1,1,15924
2,1,0.1,1,16063
2,1,0.1,1,15504
2,1,0.1,1,15924
2,1,0.1,1,15086
2,1,0.1,1,16133
2,1,0.1,1,16204
2,1,0.1,1,15994
2,1,0.1,1,16134
2,1,0.1,1,15994
2,1,0.1,1,16133
2,1,0.1,1,15923
2,1,0.1,1,16133
2,1,0.1,1,15994
2,1,0.1,1,16063
2,1,0.1,1,15854
2,1,0.1,1,15924
2,1,0.1,1,15365
2,1,0.1,1,15505
2,1,0.1,1,15784
2,1,0.1,1,15923
2,1,0.1,1,15225
2,1,0.1,1,15785
2,1,0.1,1,15504
2,1,0.1,1,15854
2,1,0.1,1,15854
2,1,0.1,1,15994
2,1,0.1,1,15435
2,1,0.1,1,15575
2,1,0.1,1,15784
2,1,0.1,1,15924
2,1,0.1,1,16064
2,1,0.1,1,15574
2,1,0.1,1,15504
2,1,0.1,1,15993
2,1,0.1,1,15854
2,1,0.1,1,15993
2,1,0.1,1,15504
2,1,0.1,1,16063
2,1,0.1,1,15924
2,1,0.1,1,16203
2,1,0.1,1,15365
2,1,0.1,1,15994
2,1,0.1,1,15854
2,1,0.1,1,16064
2,1,0.1,1,15993
2,1,0.1,1,16063
2,1,0.1,1,15924
2,1,0.1,1,16064
2,1,0.1,1,15994
2,1,0.1,1,15854
2,1,0.1,1,16063
2,1,0.1,1,16203
2,1,0.1,1,16133
2,1,0.1,1,15993
2,1,0.1,1,16064
2,1,0.1,1,15924
2,1,0.1,1,15924
2,1,0.1,1,16133
2,1,0.1,1,15994
2,1,0.1,1,15505
2,1,0.1,1,15574
2,1,0.1,1,16063
2,1,0.1,1,16134
2,1,0.1,1,15784
2,1,0.1,1,15505
2,1,0.1,1,15435
2,1,0.1,1,15365
2,1,0.1,1,16134
2,1,0.1,1,15924
2,1,0.1,1,15575
2,1,0.1,1,15644
2,1,0.1,1,15994
2,1,0.1,2,30660
2,1,0.1,2,30242
2,1,0.1,2,29403
2,1,0.1,2,30940
2,1,0.1,2,29193
2,1,0.1,2,27378
2,1,0.1,2,29543
2,1,0.1,2,28216
2,1,0.1,2,29193
2,1,0.1,2,29473
2,1,0.1,2,29683
2,1,0.1,2,29752
2,1,0.1,2,50356
2,1,0.1,2,29403
2,1,0.1,2,29683
2,1,0.1,2,29892
2,1,0.1,2,29822
2,1,0.1,2,28076
2,1,0.1,2,28635
2,1,0.1,2,28844
2,1,0.1,2,29682
2,1,0.1,2,29404
2,1,0.1,2,29612
2,1,0.1,2,29613
2,1,0.1,2,30311
2,1,0.1,2,29543
2,1,0.1,2,29612
2,1,0.1,2,28915
2,1,0.1,2,29473
2,1,0.1,2,29612
2,1,0.1,2,30031
2,1,0.1,2,28914
2,1,0.1,2,29193
2,1,0.1,2,29264
2,1,0.1,2,29613
2,1,0.1,2,29473
2,1,0.1,2,28565
2,1,0.1,2,29053
2,1,0.1,2,29682
2,1,0.1,2,29683
2,1,0.1,2,29473
2,1,0.1,2,29752
2,1,0.1,2,28844
2,1,0.1,2,29264
2,1,0.1,2,29612
2,1,0.1,2,29752
