n,m,ns
2,0,21370
2,0,8939
2,0,7822
2,0,7822
2,0,7403
2,0,7472
2,0,7333
2,0,7612
2,0,7403
2,0,7403
2,0,7333
2,0,7403
2,0,7403
2,0,7473
2,0,7263
2,0,7264
2,0,7822
2,0,8032
2,0,7263
2,0,7263
2,0,7333
2,0,8101
2,0,7264
2,0,7263
2,0,7682
2,0,7332
2,0,7263
2,0,7263
2,0,7402
2,0,7263
2,0,7263
2,0,7612
2,0,7403
2,0,7333
2,0,7473
2,0,7333
2,0,7123
2,0,7403
2,0,7613
2,0,7333
2,0,7333
2,0,7193
2,0,7543
2,0,7194
2,0,7263
2,0,7263
2,0,32475
2,0,7892
2,0,7263
2,0,7193
2,0,7333
2,0,7264
2,0,7263
2,0,7263
2,0,7542
2,0,7263
2,0,7124
2,0,7123
2,0,7402
2,0,7333
2,0,7194
2,0,7263
2,0,7333
2,0,7612
2,0,7473
2,0,7263
2,0,7332
2,0,7263
2,0,7402
2,0,7263
2,0,7333
2,0,7962
2,0,7403
2,0,7403
2,0,7473
2,0,7263
2,0,7333
2,0,7403
2,0,7263
2,0,7263
2,0,7193
2,0,7333
2,0,7263
2,0,7683
2,0,7124
2,0,7263
2,0,7543
2,0,7263
2,0,7263
2,0,7194
2,0,7333
2,0,7193
2,0,7333
2,0,7263
2,0,7193
2,0,7263
2,0,7263
2,0,7333
2,0,7821
2,0,7542
2,1,14596
2,1,11593
2,1,11314
2,1,10685
2,1,10405
2,1,10197
2,1,10546
2,1,10755
2,1,10336
2,1,10755
2,1,10126
2,1,10476
2,1,10336
2,1,10405
2,1,10755
2,1,10196
2,1,10824
2,1,10406
2,1,10545
2,1,10685
2,1,10685
2,1,10266
2,1,10616
2,1,10406
2,1,10615
2,1,10475
2,1,10895
2,1,10755
2,1,10336
2,1,10336
2,1,11663
2,1,10336
2,1,10685
2,1,10266
2,1,10405
2,1,10336
2,1,10545
2,1,10616
2,1,10266
2,1,10335
2,1,10196
2,1,10057
2,1,10476
2,1,10895
2,1,10196
2,1,10615
2,1,10545
2,1,10755
2,1,10616
2,1,10615
2,1,10057
