n,m,ns
2,0,19835
2,0,10336
2,0,10127
2,0,9638
2,0,9918
2,0,9289
2,0,10057
2,0,9987
2,0,8800
2,0,9289
2,0,9429
2,0,10127
2,0,9988
2,0,9708
2,0,9917
2,0,9289
2,0,9149
2,0,9918
2,0,9918
2,0,8730
2,0,9778
2,0,9289
2,0,9918
2,0,9218
2,0,9847
2,0,9918
2,0,9149
2,0,9219
2,0,9847
2,0,9149
2,0,9149
2,0,10127
2,0,9498
2,0,9917
2,0,9149
2,0,9289
2,0,9988
2,0,9219
2,0,9080
2,0,9988
2,0,9778
2,0,9987
2,0,9498
2,0,10057
2,0,9848
2,0,9219
2,0,9428
2,0,9358
2,0,9149
2,0,9149
2,0,9219
2,0,9917
2,0,9079
2,0,9917
2,0,9149
2,0,9987
2,0,9847
2,0,9219
2,0,9848
2,0,9289
2,0,9149
2,0,9917
2,0,9149
2,0,9219
2,0,9987
2,0,9918
2,0,9149
2,0,8870
2,0,10197
2,0,9638
2,0,10057
2,0,9987
2,0,9149
2,0,9149
2,0,9987
2,0,10127
2,0,9847
2,0,9987
2,0,9219
2,0,9987
2,0,9707
2,0,9987
2,0,9568
2,0,9288
2,0,9917
2,0,9987
2,0,9219
2,0,9149
2,0,9428
2,0,9289
2,0,9917
2,0,10057
2,0,9917
2,0,9917
2,0,9079
2,0,10057
2,0,9079
2,0,9149
2,0,9079
2,0,9359
2,1,14876
2,1,13899
2,1,13340
2,1,12711
2,1,12991
2,1,13829
2,1,13549
2,1,13968
2,1,13759
2,1,12991
2,1,13340
2,1,12851
2,1,13200
2,1,13339
2,1,12851
2,1,13689
2,1,12990
2,1,13828
2,1,13828
2,1,12921
2,1,13689
2,1,13619
2,1,13689
2,1,12920
2,1,13689
2,1,13759
2,1,13619
2,1,13619
2,1,13619
2,1,13759
2,1,13898
2,1,13619
2,1,13689
2,1,13339
2,1,13409
2,1,12990
2,1,13619
2,1,13479
2,1,13688
2,1,13270
2,1,13758
2,1,13060
2,1,13200
2,1,12851
2,1,13689
2,1,13759
2,1,13688
2,1,13689
2,1,13758
2,1,13759
2,1,27866
2,1,16133
2,1,15993
2,1,15853
2,1,16133
2,1,15994
2,1,15156
2,1,15994
2,1,15924
2,1,16064
2,1,15994
2,1,14736
2,1,15853
2,1,15784
2,1,16063
2,1,15994
2,1,15226
2,1,15994
2,1,15784
2,1,15994
2,1,15994
2,1,15156
2,1,15994
2,1,15924
2,1,15994
2,1,15924
2,1,15295
2,1,15784
2,1,15994
2,1,15853
2,1,16063
2,1,15225
2,1,15854
2,1,15575
2,1,15784
2,1,15993
2,1,15225
2,1,15994
2,1,15715
2,1,15365
2,1,16063
2,1,15225
2,1,15505
2,1,15994
2,1,15854
2,1,15993
2,1,15155
2,1,16133
2,1,16063
2,1,15923
3,0,13619
3,0,13060
3,0,12501
3,0,12571
