n,m,ns
2,0,33592
2,0,20672
2,0,19065
2,0,18996
2,0,18647
2,0,18507
2,0,18297
2,0,18647
2,0,18367
2,0,18576
2,0,18367
2,0,18647
2,0,18227
2,0,18507
2,0,18367
2,0,18298
2,0,18298
2,0,18507
2,0,18437
2,0,18367
2,0,18228
2,0,18228
2,0,18437
2,0,18437
2,0,18576
2,0,18298
2,0,18298
2,0,18298
2,0,18507
2,0,18646
2,0,18437
2,0,18228
2,0,18507
2,0,18297
2,0,18298
2,0,18437
2,0,18158
2,0,18367
2,0,18437
2,0,18438
2,0,18228
2,0,18228
2,0,18367
2,0,18367
2,0,18507
2,0,18227
2,0,18367
2,0,18437
2,0,18437
2,0,18298
2,0,18298
2,0,18158
2,0,18297
2,0,18437
2,0,18437
2,0,18297
2,0,18157
2,0,18158
2,0,18437
2,0,18507
2,0,18297
2,0,18507
2,0,18368
2,0,18367
2,0,18297
2,0,18297
2,0,18158
2,0,18437
2,0,18716
2,0,18647
2,0,18647
2,0,18367
2,0,18298
2,0,18367
2,0,18647
2,0,18157
2,0,18297
2,0,18228
2,0,18227
2,0,18298
2,0,18228
2,0,18297
2,0,18437
2,0,18367
2,0,18297
2,0,18368
2,0,18577
2,0,18157
2,0,18507
2,0,18367
2,0,18227
2,0,18367
2,0,18297
2,0,18367
2,0,18717
2,0,18646
2,0,18158
2,0,18507
2,0,18367
2,0,19135
2,1,37433
2,1,28843
2,1,27585
2,1,27167
2,1,26887
2,1,29820
2,1,27236
2,1,27237
2,1,27097
2,1,26957
2,1,26887
2,1,27167
2,1,27096
2,1,27027
2,1,26818
2,1,27237
2,1,27236
2,1,27027
2,1,27656
2,1,27097
2,1,26748
2,1,28284
2,1,27446
2,1,27097
2,1,27236
2,1,27306
2,1,27376
2,1,27306
2,1,27307
2,1,27376
2,1,27097
2,1,28005
2,1,27166
2,1,27307
2,1,27027
2,1,27446
2,1,27236
2,1,27307
2,1,27237
2,1,27446
2,1,27097
2,1,27237
2,1,27097
2,1,27307
2,1,27167
2,1,27656
2,1,27586
2,1,27586
2,1,27446
2,1,27446
2,1,26958
2,1,27656
2,1,27236
2,1,27237
2,1,27237
2,1,27097
2,1,27516
2,1,27167
2,1,27446
2,1,27236
2,1,26957
2,1,28424
2,1,27935
2,1,27586
2,1,27236
2,1,27377
2,1,27306
2,1,27237
2,1,27236
2,1,27446
2,1,27097
2,1,27166
2,1,27306
2,1,27656
2,1,26958
2,1,27377
2,1,27306
2,1,27865
2,1,27865
2,1,27935
2,1,27306
2,1,27167
2,1,27446
2,1,26957
2,1,27376
2,1,27446
2,1,27585
2,1,27376
2,1,48118
2,1,22558
2,1,22138
2,1,22418
2,1,22418
2,1,22209
2,1,22488
2,1,22418
2,1,22418
2,1,22418
2,1,22558
2,1,22558
3,0,19275
3,0,17948
3,0,17878
3,0,17809
3,0,18088
3,0,17669
3,0,17739
3,0,17529
3,0,17739
3,0,17669
3,0,17739
3,0,17669
3,0,17529
3,0,17459
3,0,17529
3,0,17599
3,0,17739
3,0,17599
3,0,17739
3,0,17599
3,0,17599
3,0,17669
3,0,17390
3,0,17599
3,0,17599
3,0,17390
3,0,17669
3,0,17460
3,0,17809
3,0,17599
3,0,17599
3,0,17529
3,0,17599
3,0,18088
3,0,17529
3,0,17529
3,0,17599
3,0,17459
3,0,17529
3,0,17459
3,0,17599
3,0,17529
3,0,17460
3,0,17669
3,0,17529
3,0,17529
3,0,17739
3,0,17599
3,0,17949
3,0,17460
3,0,17529
3,0,17529
3,0,17878
3,0,17599
3,0,17530
3,0,17599
3,0,17599
3,0,17669
3,0,17459
3,0,17389
3,0,17599
3,0,17250
3,0,17739
3,0,17599
3,0,17599
3,0,17530
3,0,17739
3,0,17669
3,0,17459
3,0,17529
3,0,17530
3,0,17599
3,0,17459
3,0,17250
3,0,17529
3,0,17599
3,0,17669
3,0,17459
3,0,17529
3,0,17669
3,0,17460
3,0,17460
3,0,17739
3,0,17529
3,0,17529
3,0,17529
3,0,17460
3,0,17529
3,0,17739
3,0,17390
3,0,18087
3,0,17669
3,0,17459
3,0,17599
3,0,17459
3,0,17529
3,0,17459
3,0,17389
3,0,17459
3,0,17599
3,1,25490
3,1,25421
3,1,25420
3,1,25002
3,1,24792
3,1,24932
3,1,25979
3,1,24932
3,1,24722
3,1,25002
3,1,24862
3,1,24792
3,1,24932
3,1,24792
3,1,24374
3,1,24653
3,1,24862
3,1,24723
3,1,24653
3,1,24722
3,1,24722
3,1,24932
3,1,24932
3,1,25002
3,1,24932
3,1,24862
3,1,24652
3,1,25281
3,1,24653
3,1,24862
3,1,25840
3,1,24862
3,1,25002
3,1,24932
3,1,24862
3,1,26678
3,1,25001
3,1,24862
3,1,24793
3,1,24793
3,1,24932
3,1,24862
3,1,25700
3,1,24793
3,1,25072
3,1,24932
3,1,25281
3,1,25421
3,1,25002
3,1,24862
3,1,24932
3,1,25142
3,1,24792
3,1,25421
3,1,25002
3,1,24723
3,1,24513
3,1,25072
3,1,24932
3,1,25072
3,1,25141
3,1,26747
3,1,24932
3,1,24792
3,1,24932
3,1,24792
3,1,24652
3,1,24582
3,1,24583
3,1,24932
3,1,24862
3,1,24723
3,1,25142
3,1,24722
3,1,24653
3,1,24862
3,1,24862
3,1,24653
3,1,24863
3,1,25002
3,1,26050
3,1,24862
3,1,25071
3,1,24862
3,1,24583
3,1,24862
3,1,24792
3,1,25002
3,1,24932
3,1,24862
3,1,25002
3,1,24583
3,1,24652
3,1,24722
3,1,24862
3,1,24792
3,1,24932
3,1,24862
3,1,24862
3,1,24722
3,2,31846
3,2,31497
3,2,31287
3,2,31427
3,2,31007
3,2,30798
3,2,30659
3,2,30589
3,2,30728
3,2,30798
3,2,30589
3,2,30798
3,2,30589
3,2,30938
3,2,31008
3,2,31217
3,2,30938
3,2,31288
3,2,30799
3,2,30728
3,2,30658
3,2,30658
3,2,30519
3,2,30449
3,2,30659
3,2,30588
3,2,31147
3,2,30449
3,2,31007
3,2,30798
3,2,30449
3,2,30728
3,2,30938
3,2,30449
3,2,30868
3,2,30589
3,2,30589
3,2,30659
3,2,30728
3,2,30519
3,2,30310
3,2,30729
3,2,30729
3,2,30379
3,2,30588
3,2,31078
3,2,30449
3,2,30799
3,2,31008
3,2,30519
3,2,30798
3,2,31077
3,2,30589
3,2,30449
3,2,30449
3,2,30728
3,2,30798
3,2,30729
3,2,30659
3,2,30729
3,2,30798
3,2,30659
3,2,50842
3,2,27935
3,2,28005
3,2,28493
3,2,28494
3,2,28214
3,2,28424
3,2,27935
3,2,28424
3,2,28354
3,2,28144
3,2,28074
3,2,28144
3,2,28005
3,2,28773
3,2,28424
3,2,28284
3,2,28284
3,2,28005
3,2,28633
3,2,28075
3,2,28215
3,2,28284
3,2,28564
3,2,28075
3,2,27726
3,2,28075
3,2,28145
3,2,28354
3,2,28284
3,2,28354
3,2,28354
3,2,28424
3,2,28215
3,2,28284
3,2,28215
3,2,28214
3,2,28005
3,3,30240
3,3,29751
3,3,29821
3,3,29751
3,3,29751
3,3,29751
3,3,29960
3,3,29751
3,3,29960
3,3,29611
3,3,29681
3,3,29751
3,3,29751
3,3,30030
3,3,29820
3,3,29961
3,3,29611
3,3,29820
3,3,29680
3,3,29611
3,3,29821
3,3,29680
3,3,29611
3,3,29751
3,3,29751
3,3,29611
3,3,29681
3,3,29820
3,3,29681
3,3,29960
3,3,29960
3,3,29681
3,3,30030
3,3,29680
3,3,29960
3,3,30519
3,3,30100
3,3,30449
3,3,30310
3,3,30169
3,3,30240
3,3,30729
3,3,30100
3,3,30169
3,3,30030
3,3,30589
3,3,30519
3,3,30449
3,3,30240
3,3,29961
3,3,30589
3,3,30240
3,3,30379
3,3,30449
3,3,30169
3,3,30519
3,3,30169
3,3,30449
3,3,30729
3,3,30589
3,3,30380
3,3,30310
3,3,30100
3,3,30518
3,3,30170
3,3,30309
3,3,30170
3,3,30449
3,3,30659
3,3,30170
3,3,30519
3,3,30379
3,3,30309
3,3,30310
3,3,30449
3,3,30309
3,3,30239
3,3,30589
3,3,30449
3,3,30100
3,3,30309
3,3,30240
3,3,30240
3,3,30938
3,3,30169
3,3,30169
3,3,30239
3,3,30100
3,3,30518
3,3,30239
3,3,30310
3,3,30449
3,3,30239
3,3,30239
3,3,30449
3,3,30798
3,3,30030
3,3,30868
3,3,30170
3,3,30658
4,0,18507
4,0,18227
4,0,17739
4,0,17669
4,0,17599
4,0,18158
4,0,17389
4,0,17808
4,0,17738
4,0,17389
4,0,17320
4,0,17460
4,0,17390
4,0,17390
4,0,17459
4,0,17530
4,0,17459
4,0,17529
4,0,17599
4,0,17389
4,0,17529
4,0,17459
4,0,17389
4,0,17599
4,0,17459
4,0,17320
4,0,17599
4,0,17389
4,0,17389
4,0,17389
4,0,17459
4,0,17389
4,0,17459
4,0,17459
4,0,17390
4,0,17599
4,0,17390
4,0,17459
4,0,17599
4,0,17460
4,0,17460
4,0,17460
4,0,17320
4,0,17459
4,0,17599
4,0,17529
4,0,17390
4,0,17460
4,0,17530
4,0,17389
4,0,17738
4,0,17320
4,0,17389
4,0,17529
4,0,17460
4,0,17529
4,0,17459
4,0,17529
4,0,17390
4,0,17389
4,0,17599
4,0,17250
4,0,17460
4,0,17460
4,0,17390
4,0,17599
4,0,17460
4,0,17320
4,0,17529
4,0,17459
4,0,17459
4,0,17460
4,0,17320
4,0,17460
4,0,17599
4,0,17529
4,0,17319
4,0,17599
4,0,17529
4,0,17459
4,0,17530
4,0,17669
4,0,17669
4,0,17459
4,0,17529
4,0,17529
4,0,17459
4,0,17320
4,0,17460
4,0,17390
4,0,17460
4,0,17529
4,0,17599
4,0,17669
4,0,17459
4,0,17599
4,0,17320
4,0,17599
4,0,17460
4,0,17879
4,1,25281
4,1,24723
4,1,24373
4,1,24304
4,1,24512
4,1,24373
4,1,24304
4,1,24304
4,1,24303
4,1,24513
4,1,24583
4,1,24164
4,1,24443
4,1,24164
4,1,24164
4,1,23815
4,1,24373
4,1,23954
4,1,24233
4,1,24164
4,1,24443
4,1,24303
4,1,24233
4,1,24094
4,1,24234
4,1,24024
4,1,24304
4,1,24024
4,1,23954
4,1,24094
4,1,24024
4,1,34919
4,1,22278
4,1,22697
4,1,22627
4,1,22209
4,1,22697
4,1,22767
4,1,22209
4,1,22348
4,1,22138
4,1,22208
4,1,22068
4,1,22139
4,1,22138
4,1,22069
4,1,22767
4,1,22697
4,1,22068
4,1,22627
4,1,22767
4,1,22348
4,1,22488
4,1,22418
4,1,22767
4,1,22558
4,1,22278
4,1,22278
4,1,22068
4,1,21999
4,1,22767
4,1,22278
4,1,22837
4,1,22348
4,1,22278
4,1,22628
4,1,22487
4,1,22138
4,1,22767
4,1,21999
4,1,22767
4,1,22837
4,1,22836
4,1,22836
4,1,22069
4,1,22278
4,1,22698
4,1,22767
4,1,22557
4,1,22348
