n,m,p,it,diff,ns
20,10,0.6,50,0,548808
20,10,0.6,50,0,486441
20,10,0.6,50,0,489304
20,10,0.6,50,0,485323
20,10,0.6,50,0,488047
20,10,0.6,50,0,487069
20,10,0.6,50,0,502783
20,10,0.6,50,0,486720
20,10,0.6,50,0,484415
20,10,0.6,50,0,486860
20,10,0.6,50,0,488815
20,10,0.6,50,0,487628
20,10,0.6,50,0,489025
20,10,0.6,50,0,487907
20,10,0.6,50,0,497335
20,10,0.6,50,0,488396
20,10,0.6,50,0,487000
20,10,0.6,50,0,488186
20,10,0.6,50,0,486301
20,10,0.6,50,0,488047
20,10,0.6,50,0,487139
20,10,0.6,50,0,488466
20,10,0.6,50,0,496637
20,10,0.6,50,0,488815
20,10,0.6,50,0,488326
20,10,0.6,50,0,487698
20,10,0.6,50,0,488187
20,10,0.6,50,0,487837
20,10,0.6,50,0,488047
20,10,0.6,50,0,486999
20,10,0.6,50,0,494193
20,10,0.6,50,0,487418
20,10,0.6,50,0,483438
20,10,0.6,50,0,487697
20,10,0.6,50,0,486580
20,10,0.6,50,0,487698
20,10,0.6,50,0,486720
20,10,0.6,50,0,487627
20,10,0.6,50,0,487977
20,10,0.6,50,0,492098
20,10,0.6,50,0,487209
20,10,0.6,50,0,487698
20,10,0.6,50,0,488117
20,10,0.6,50,0,487279
20,10,0.6,50,0,488047
20,10,0.6,50,0,487139
20,10,0.6,50,0,487278
20,10,0.6,50,0,494821
20,10,0.6,50,0,488885
20,10,0.6,50,0,487767
20,10,0.6,50,0,487348
20,10,0.6,50,0,488257
20,10,0.6,50,0,487907
20,10,0.6,50,0,486511
20,10,0.6,50,0,487139
20,10,0.6,50,0,492447
20,10,0.6,50,0,487209
20,10,0.6,50,0,488675
20,10,0.6,50,0,488047
20,10,0.6,50,0,487488
20,10,0.6,50,0,488885
20,10,0.6,50,0,486790
20,10,0.6,50,0,487208
20,10,0.6,50,0,496428
20,10,0.6,50,0,487208
20,10,0.6,50,0,487837
20,10,0.6,50,0,487279
20,10,0.6,50,0,483368
20,10,0.6,50,0,487698
20,10,0.6,50,0,487070
20,10,0.6,50,0,487628
20,10,0.6,50,0,494751
20,10,0.6,50,0,487278
20,10,0.6,50,0,487977
20,10,0.6,50,0,487348
20,10,0.6,50,0,485324
20,10,0.6,50,0,484694
20,10,0.6,50,0,487418
20,10,0.6,50,0,488466
20,10,0.6,50,0,492377
20,10,0.6,50,0,484904
20,10,0.6,50,0,487628
20,10,0.6,50,0,487977
20,10,0.6,50,0,488815
20,10,0.6,50,0,486789
20,10,0.6,50,0,486580
20,10,0.6,50,0,486930
20,10,0.6,50,0,494402
20,10,0.6,50,0,485463
20,10,0.6,50,0,486300
20,10,0.6,50,0,486580
20,10,0.6,50,0,488117
20,10,0.6,50,0,488327
20,10,0.6,50,0,487698
20,10,0.6,50,0,487418
20,10,0.6,50,0,487697
20,10,0.6,50,0,494612
20,10,0.6,50,0,489094
20,10,0.6,50,0,488605
20,10,0.6,50,0,488815
