n,m,p,it,diff,ns
2,1,0.6,50,0,419464
2,1,0.6,50,0,369178
2,1,0.6,50,0,368410
2,1,0.6,50,0,370296
2,1,0.6,50,0,367641
2,1,0.6,50,0,367432
2,1,0.6,50,0,368410
2,1,0.6,50,0,368550
2,1,0.6,50,0,370365
2,1,0.6,50,0,374626
2,1,0.6,50,0,368480
2,1,0.6,50,0,366524
2,1,0.6,50,0,367851
2,1,0.6,50,0,368689
2,1,0.6,50,0,367432
2,1,0.6,50,0,369667
2,1,0.6,50,0,368339
2,1,0.6,50,0,370156
2,1,0.6,50,0,367572
2,1,0.6,50,0,371413
2,1,0.6,50,0,378466
2,1,0.6,50,0,371902
2,1,0.6,50,0,368061
2,1,0.6,50,0,369318
2,1,0.6,50,0,368689
2,1,0.6,50,0,367851
2,1,0.6,50,0,368550
2,1,0.6,50,0,366035
2,1,0.6,50,0,368759
2,1,0.6,50,0,370086
2,1,0.6,50,0,365407
2,1,0.6,50,0,375603
2,1,0.6,50,0,368898
2,1,0.6,50,0,371622
2,1,0.6,50,0,370086
2,1,0.6,50,0,369318
2,1,0.6,50,0,369248
2,1,0.6,50,0,368060
2,1,0.6,50,0,370295
2,1,0.6,50,0,367152
2,1,0.6,50,0,368968
2,1,0.6,50,0,369667
2,1,0.6,50,0,379724
2,1,0.6,50,0,370575
2,1,0.6,50,0,366455
2,1,0.6,50,0,367921
2,1,0.6,50,0,369178
2,1,0.6,50,0,367921
2,1,0.6,50,0,369388
2,1,0.6,50,0,368061
2,1,0.6,50,0,369038
2,1,0.6,50,0,367572
2,1,0.6,50,0,374626
2,1,0.6,50,0,369108
2,1,0.6,50,0,366524
2,1,0.6,50,0,368550
2,1,0.6,50,0,368690
2,1,0.6,50,0,370714
2,1,0.6,50,0,367013
2,1,0.6,50,0,370016
2,1,0.6,50,0,367921
2,1,0.6,50,0,370436
2,1,0.6,50,0,367362
2,1,0.6,50,0,376022
2,1,0.6,50,0,369597
2,1,0.6,50,0,369108
2,1,0.6,50,0,368549
2,1,0.6,50,0,366734
2,1,0.6,50,0,370924
2,1,0.6,50,0,367712
2,1,0.6,50,0,368619
2,1,0.6,50,0,367851
2,1,0.6,50,0,369597
2,1,0.6,50,0,367083
2,1,0.6,50,0,372600
2,1,0.6,50,0,368549
2,1,0.6,50,0,368270
2,1,0.6,50,0,368899
2,1,0.6,50,0,368898
2,1,0.6,50,0,370155
2,1,0.6,50,0,368200
2,1,0.6,50,0,366384
2,1,0.6,50,0,367432
2,1,0.6,50,0,367641
2,1,0.6,50,0,367921
2,1,0.6,50,0,377139
2,1,0.6,50,0,367013
2,1,0.6,50,0,368968
2,1,0.6,50,0,368340
2,1,0.6,50,0,370574
2,1,0.6,50,0,368130
2,1,0.6,50,0,370645
2,1,0.6,50,0,367712
2,1,0.6,50,0,369667
2,1,0.6,50,0,366804
2,1,0.6,50,0,366105
2,1,0.6,50,0,372600
2,1,0.6,50,0,367223
2,1,0.6,50,0,370365
2,1,0.6,50,0,370155
5,3,0.6,50,0,797860
5,3,0.6,50,0,741010
5,3,0.6,50,0,725785
5,3,0.6,50,0,757422
5,3,0.6,50,0,751207
5,3,0.6,50,0,750508
5,3,0.6,50,0,750787
5,3,0.6,50,0,724597
5,3,0.6,50,0,743385
5,3,0.6,50,0,735143
5,3,0.6,50,0,753442
5,3,0.6,50,0,754489
5,3,0.6,50,0,748343
5,3,0.6,50,0,723060
5,3,0.6,50,0,743105
5,3,0.6,50,0,739613
5,3,0.6,50,0,751067
5,3,0.6,50,0,747506
5,3,0.6,50,0,735702
5,3,0.6,50,0,758750
5,3,0.6,50,0,741638
5,3,0.6,50,0,724388
5,3,0.6,50,0,751905
5,3,0.6,50,0,753232
5,3,0.6,50,0,757143
5,3,0.6,50,0,750229
5,3,0.6,50,0,727252
5,3,0.6,50,0,736680
5,3,0.6,50,0,739544
5,3,0.6,50,0,763918
5,3,0.6,50,0,757423
5,3,0.6,50,0,752114
5,3,0.6,50,0,752533
5,3,0.6,50,0,737378
5,3,0.6,50,0,726693
5,3,0.6,50,0,756794
5,3,0.6,50,0,739054
5,3,0.6,50,0,749390
5,3,0.6,50,0,748343
5,3,0.6,50,0,737378
5,3,0.6,50,0,760356
5,3,0.6,50,0,726134
5,3,0.6,50,0,740870
5,3,0.6,50,0,750648
5,3,0.6,50,0,753023
5,3,0.6,50,0,749880
5,3,0.6,50,0,758051
5,3,0.6,50,0,726343
5,3,0.6,50,0,738635
5,3,0.6,50,0,739823
5,3,0.6,50,0,761683
5,3,0.6,50,0,757004
5,3,0.6,50,0,751486
5,3,0.6,50,0,750438
5,3,0.6,50,0,738217
5,3,0.6,50,0,725226
5,3,0.6,50,0,743874
5,3,0.6,50,0,751835
5,3,0.6,50,0,752883
5,3,0.6,50,0,749740
5,3,0.6,50,0,739333
5,3,0.6,50,0,737657
5,3,0.6,50,0,729067
5,3,0.6,50,0,751276
5,3,0.6,50,0,750019
5,3,0.6,50,0,753023
5,3,0.6,50,0,753791
5,3,0.6,50,0,747156
5,3,0.6,50,0,739614
5,3,0.6,50,0,739823
5,3,0.6,50,0,738425
5,3,0.6,50,0,751835
5,3,0.6,50,0,757353
5,3,0.6,50,0,751416
5,3,0.6,50,0,740102
5,3,0.6,50,0,741569
5,3,0.6,50,0,742476
5,3,0.6,50,0,738635
5,3,0.6,50,0,754210
5,3,0.6,50,0,748134
5,3,0.6,50,0,751137
5,3,0.6,50,0,726413
5,3,0.6,50,0,737099
5,3,0.6,50,0,768737
5,3,0.6,50,0,761613
5,3,0.6,50,0,739194
5,3,0.6,50,0,751486
5,3,0.6,50,0,750857
5,3,0.6,50,0,760076
5,3,0.6,50,0,737239
5,3,0.6,50,0,738636
5,3,0.6,50,0,725366
5,3,0.6,50,0,754559
5,3,0.6,50,0,748413
5,3,0.6,50,0,758191
5,3,0.6,50,0,748483
5,3,0.6,50,0,727460
5,3,0.6,50,0,741499
5,3,0.6,50,0,762800
5,3,0.6,50,0,746527
7,5,0.6,50,0,1071636
7,5,0.6,50,0,1020652
7,5,0.6,50,0,1019185
