n,m,p,it,diff,ns
20,10,0.6,50,0,553347
20,10,0.6,50,0,494052
20,10,0.6,50,0,493145
20,10,0.6,50,0,492656
20,10,0.6,50,0,491329
20,10,0.6,50,0,492167
20,10,0.6,50,0,506694
20,10,0.6,50,0,492237
20,10,0.6,50,0,492447
20,10,0.6,50,0,492796
32,21,0.6,50,0,895357
32,21,0.6,50,0,866094
32,21,0.6,50,0,873427
32,21,0.6,50,0,868259
32,21,0.6,50,0,863859
32,21,0.6,50,0,843675
32,21,0.6,50,0,863580
32,21,0.6,50,0,871262
32,21,0.6,50,0,828310
32,21,0.6,50,0,865815
43,32,0.6,50,0,1281157
43,32,0.6,50,0,1240789
43,32,0.6,50,0,1250707
43,32,0.6,50,0,1216694
43,32,0.6,50,0,1209920
43,32,0.6,50,0,1233596
43,32,0.6,50,0,1214808
43,32,0.6,50,0,1255456
43,32,0.6,50,0,1232478
43,32,0.6,50,0,1213761
56,45,0.6,50,0,1668283
56,45,0.6,50,0,1528253
56,45,0.6,50,0,1586920
56,45,0.6,50,0,1532374
56,45,0.6,50,0,1644538
56,45,0.6,50,0,1612062
56,45,0.6,50,0,1624284
56,45,0.6,50,0,1626449
56,45,0.6,50,0,1605218
56,45,0.6,50,0,1566037
68,57,0.6,50,1,1897640
68,57,0.6,50,1,1791273
68,57,0.6,50,1,1840581
68,57,0.6,50,1,1784289
68,57,0.6,50,1,1821025
68,57,0.6,50,1,1789038
68,57,0.6,50,1,1790994
68,57,0.6,50,1,1821026
68,57,0.6,50,1,1788968
68,57,0.6,50,1,1794905
82,72,0.6,50,3,2275269
82,72,0.6,50,3,2229105
82,72,0.6,50,3,2224076
82,72,0.6,50,3,2200330
82,72,0.6,50,3,2226520
82,72,0.6,50,3,2223656
82,72,0.6,50,3,2236927
82,72,0.6,50,3,2221142
82,72,0.6,50,3,2197118
82,72,0.6,50,3,2224146
95,85,0.6,50,5,2982894
95,85,0.6,50,5,2939663
95,85,0.6,50,5,2942946
95,85,0.6,50,5,2935891
95,85,0.6,50,5,2980380
95,85,0.6,50,5,2936661
95,85,0.6,50,5,2941340
95,85,0.6,50,5,2937568
95,85,0.6,50,5,2938615
95,85,0.6,50,5,2938057
110,102,0.6,50,8,3192906
110,102,0.6,50,8,3171534
110,102,0.6,50,8,3221680
110,102,0.6,50,8,3183617
110,102,0.6,50,8,3182779
110,102,0.6,50,8,3185293
110,102,0.6,50,8,3212879
110,102,0.6,50,8,3184664
110,102,0.6,50,8,3179356
110,102,0.6,50,8,3216372
124,116,0.6,50,11,3685980
124,116,0.6,50,11,3660069
124,116,0.6,50,11,3653924
124,116,0.6,50,11,3611320
124,116,0.6,50,11,3665028
124,116,0.6,50,11,3605664
124,116,0.6,50,11,3655391
124,116,0.6,50,11,3663142
124,116,0.6,50,11,3613835
124,116,0.6,50,11,3661467
140,135,0.6,50,15,3423589
140,135,0.6,50,15,3529467
140,135,0.6,50,15,3193813
140,135,0.6,50,15,3315616
140,135,0.6,50,15,3360243
140,135,0.6,50,15,3413881
140,135,0.6,50,15,3476179
140,135,0.6,50,15,3200658
140,135,0.6,50,15,3743739
140,135,0.6,50,15,3363735
155,150,0.6,50,19,4674156
