n,m,diff,ns
2,1,0,5727
2,1,0,3213
2,1,0,1606
2,1,0,1606
2,1,0,1606
2,1,0,2095
2,1,0,11384
2,1,0,1606
2,1,0,1886
2,1,0,1606
2,1,0,10267
2,1,0,2095
2,1,0,1606
2,1,0,2096
2,1,0,2025
2,1,0,2025
2,1,0,2096
2,1,0,2025
2,1,0,2096
2,1,0,2026
2,1,0,2025
2,1,0,1536
2,1,0,2095
2,1,0,1746
2,1,0,2096
2,1,0,1815
2,1,0,2095
2,1,0,2934
2,1,0,2514
2,1,0,1886
2,1,0,1606
2,1,0,1816
2,1,0,1676
2,1,0,2095
2,1,0,12711
2,1,0,10895
2,1,0,2165
2,1,0,10825
2,1,0,1606
2,1,0,2095
2,1,0,2095
2,1,0,1606
2,1,0,2095
2,1,0,2026
2,1,0,2095
2,1,0,2025
2,1,0,2095
2,1,0,2025
2,1,0,1676
2,1,0,1816
2,1,0,1606
2,1,0,1606
2,1,0,1607
2,1,0,2025
2,1,0,2095
2,1,0,2095
2,1,0,2026
2,1,0,2095
2,1,0,2026
2,1,0,2374
2,1,0,1606
2,1,0,1606
2,1,0,3212
2,1,0,2096
2,1,0,2095
2,1,0,2026
2,1,0,2095
2,1,0,2095
2,1,0,2095
2,1,0,2025
2,1,0,2025
2,1,0,2026
2,1,0,2025
2,1,0,2095
2,1,0,2095
2,1,0,2025
2,1,0,2096
2,1,0,2095
2,1,0,2095
2,1,0,2026
2,1,0,2095
2,1,0,2025
2,1,0,2096
2,1,0,2025
2,1,0,2025
2,1,0,2096
2,1,0,2025
2,1,0,2025
2,1,0,2026
2,1,0,2095
2,1,0,2095
2,1,0,2026
2,1,0,2025
2,1,0,2095
2,1,0,2096
2,1,0,2025
2,1,0,2025
2,1,0,2095
2,1,0,2025
2,1,0,2025
5,3,0,3981
5,3,0,3282
5,3,0,2514
5,3,0,2445
5,3,0,2375
5,3,0,2864
5,3,0,2444
5,3,0,3213
5,3,0,2584
5,3,0,2514
5,3,0,2445
5,3,0,10686
5,3,0,2444
5,3,0,1956
5,3,0,2374
5,3,0,2374
5,3,0,2375
5,3,0,2374
5,3,0,2444
5,3,0,2445
5,3,0,1955
5,3,0,1956
5,3,0,1955
5,3,0,2445
5,3,0,2445
5,3,0,2165
5,3,0,2515
5,3,0,2445
5,3,0,13130
5,3,0,11245
5,3,0,3771
5,3,0,4190
5,3,0,2375
5,3,0,2374
5,3,0,3142
5,3,0,2375
5,3,0,2375
5,3,0,1956
5,3,0,2026
5,3,0,2235
5,3,0,3003
5,3,0,2794
5,3,0,2165
5,3,0,10616
5,3,0,2375
5,3,0,2793
5,3,0,2375
5,3,0,2375
5,3,0,2445
5,3,0,2445
5,3,0,2374
5,3,0,2444
5,3,0,2444
5,3,0,2375
5,3,0,2445
5,3,0,2445
5,3,0,2375
5,3,0,2444
5,3,0,2025
5,3,0,2444
5,3,0,2445
5,3,0,2375
5,3,0,2375
5,3,0,2375
5,3,0,2445
5,3,0,2444
5,3,0,2374
5,3,0,2444
5,3,0,2374
5,3,0,2374
5,3,0,2234
5,3,0,2374
5,3,0,2305
5,3,0,2445
5,3,0,2445
5,3,0,2374
5,3,0,2374
5,3,0,2444
5,3,0,24235
5,3,0,2375
5,3,0,2444
5,3,0,2444
5,3,0,2515
5,3,0,2445
5,3,0,2444
5,3,0,2444
5,3,0,2445
5,3,0,2445
5,3,0,1955
5,3,0,2374
5,3,0,2444
5,3,0,2445
5,3,0,2444
5,3,0,2444
5,3,0,2444
5,3,0,2445
5,3,0,2375
5,3,0,2444
5,3,0,2514
5,3,0,2514
7,5,0,3841
7,5,0,3562
7,5,0,2864
7,5,0,2863
7,5,0,2234
7,5,0,2723
7,5,0,2723
7,5,0,2305
7,5,0,2444
7,5,0,2793
7,5,0,2724
7,5,0,3772
7,5,0,3632
7,5,0,2793
7,5,0,2724
7,5,0,2305
7,5,0,2794
7,5,0,2724
7,5,0,2794
7,5,0,2724
7,5,0,2794
7,5,0,2794
7,5,0,2794
7,5,0,2374
7,5,0,2794
7,5,0,2724
7,5,0,3282
7,5,0,2375
7,5,0,2724
7,5,0,2235
7,5,0,2724
7,5,0,3143
7,5,0,3422
7,5,0,2794
7,5,0,2724
7,5,0,2375
7,5,0,2794
7,5,0,2724
7,5,0,2794
7,5,0,2235
7,5,0,2794
7,5,0,3422
7,5,0,2724
7,5,0,2724
7,5,0,2724
7,5,0,2794
7,5,0,2444
7,5,0,3213
7,5,0,3143
7,5,0,2724
7,5,0,2724
7,5,0,2724
7,5,0,2724
7,5,0,2794
7,5,0,2724
7,5,0,2794
7,5,0,2724
7,5,0,2724
7,5,0,2793
7,5,0,2723
7,5,0,2304
7,5,0,3422
7,5,0,3353
7,5,0,2793
7,5,0,2793
7,5,0,2793
7,5,0,2724
7,5,0,2723
7,5,0,2793
7,5,0,2793
7,5,0,2723
7,5,0,2724
7,5,0,2724
7,5,0,2724
7,5,0,2724
7,5,0,2724
7,5,0,2724
7,5,0,2794
7,5,0,2794
7,5,0,2794
7,5,0,2724
7,5,0,2794
7,5,0,2794
7,5,0,2724
7,5,0,2305
7,5,0,2793
7,5,0,2793
7,5,0,2723
7,5,0,2235
7,5,0,2724
7,5,0,2724
7,5,0,2794
7,5,0,2794
7,5,0,2724
7,5,0,2654
7,5,0,2724
7,5,0,2794
7,5,0,2794
7,5,0,2724
7,5,0,2794
11,9,0,4121
11,9,0,3911
11,9,0,3142
11,9,0,3142
11,9,0,2794
11,9,0,3073
11,9,0,3213
11,9,0,3073
11,9,0,3143
11,9,0,3073
11,9,0,3353
11,9,0,3422
11,9,0,3143
11,9,0,3143
11,9,0,3143
11,9,0,3073
11,9,0,3073
11,9,0,3911
11,9,0,3073
11,9,0,2654
11,9,0,4190
11,9,0,3142
11,9,0,2654
11,9,0,3212
11,9,0,3771
11,9,0,2584
11,9,0,2654
11,9,0,4819
11,9,0,3143
11,9,0,12013
11,9,0,3073
11,9,0,3562
11,9,0,2794
11,9,0,12431
11,9,0,3212
11,9,0,3422
11,9,0,3143
11,9,0,3073
11,9,0,3771
11,9,0,4261
11,9,0,3073
11,9,0,3073
11,9,0,3073
11,9,0,3142
11,9,0,3073
11,9,0,3073
11,9,0,3213
11,9,0,3073
11,9,0,3073
11,9,0,4051
11,9,0,3143
11,9,0,3143
11,9,0,3143
11,9,0,3143
11,9,0,3073
11,9,0,3142
11,9,0,3143
11,9,0,3143
11,9,0,3073
11,9,0,3073
11,9,0,3143
11,9,0,3073
11,9,0,3073
11,9,0,3143
11,9,0,3143
11,9,0,3841
11,9,0,3143
11,9,0,3073
11,9,0,3073
11,9,0,3143
11,9,0,3143
11,9,0,3142
11,9,0,3143
11,9,0,3073
11,9,0,2654
11,9,0,3143
11,9,0,3073
11,9,0,2724
11,9,0,3073
11,9,0,3073
11,9,0,3143
11,9,0,3142
11,9,0,3143
11,9,0,3143
11,9,0,3073
11,9,0,3073
11,9,0,3073
11,9,0,3143
11,9,0,3073
11,9,0,3073
11,9,0,3143
11,9,0,3073
11,9,0,3073
11,9,0,3073
11,9,0,2654
11,9,0,3073
11,9,0,3143
11,9,0,2724
11,9,0,3143
11,9,0,3142
14,12,1,4610
14,12,1,4191
14,12,1,3492
14,12,1,4191
14,12,1,3492
14,12,1,3492
14,12,1,3562
14,12,1,3423
14,12,1,3422
14,12,1,3562
14,12,1,3492
14,12,1,3422
14,12,1,3422
14,12,1,3422
14,12,1,3353
14,12,1,3492
14,12,1,3423
14,12,1,3003
14,12,1,4121
14,12,1,3423
14,12,1,3423
14,12,1,3422
14,12,1,3981
14,12,1,3212
14,12,1,3352
14,12,1,4470
14,12,1,4539
14,12,1,11524
14,12,1,4330
14,12,1,3423
14,12,1,3492
14,12,1,3213
14,12,1,4610
14,12,1,3422
14,12,1,3631
14,12,1,3841
14,12,1,4260
14,12,1,3492
14,12,1,3353
14,12,1,3352
14,12,1,2933
14,12,1,3492
14,12,1,3422
14,12,1,3422
14,12,1,3492
14,12,1,4400
14,12,1,3981
14,12,1,3423
14,12,1,3352
14,12,1,3422
