n,m,diff,ns
2,1,0,10057
2,1,0,7404
2,1,0,15085
2,1,0,6355
2,1,0,6216
2,1,0,6146
2,1,0,6355
2,1,0,5797
2,1,0,6146
2,1,0,14108
2,1,0,5727
2,1,0,14667
2,1,0,14807
2,1,0,14597
2,1,0,6007
2,1,0,6635
2,1,0,5866
2,1,0,6076
2,1,0,6146
2,1,0,22838
2,1,0,5587
2,1,0,6076
2,1,0,6146
2,1,0,6076
2,1,0,6146
2,1,0,6216
2,1,0,6076
2,1,0,6076
2,1,0,6146
2,1,0,6146
2,1,0,6146
2,1,0,6076
2,1,0,6076
2,1,0,6145
2,1,0,6076
2,1,0,6146
2,1,0,6077
2,1,0,6076
2,1,0,6077
2,1,0,6076
2,1,0,6077
2,1,0,6076
2,1,0,6076
2,1,0,6146
2,1,0,6146
2,1,0,6076
2,1,0,6146
2,1,0,6076
2,1,0,6076
2,1,0,6007
2,1,0,6216
2,1,0,6146
2,1,0,6146
2,1,0,6077
2,1,0,6146
2,1,0,6076
2,1,0,6146
2,1,0,6076
2,1,0,6146
2,1,0,6076
2,1,0,6146
2,1,0,6426
2,1,0,6216
2,1,0,6216
2,1,0,6146
2,1,0,6146
2,1,0,6006
2,1,0,6146
2,1,0,6006
2,1,0,6007
2,1,0,6076
2,1,0,6076
2,1,0,6216
2,1,0,6076
2,1,0,6076
2,1,0,6076
2,1,0,6146
2,1,0,6006
2,1,0,6146
2,1,0,6146
2,1,0,6076
2,1,0,6076
2,1,0,6076
2,1,0,6076
2,1,0,6146
2,1,0,6076
2,1,0,6076
2,1,0,6146
2,1,0,6077
2,1,0,6076
2,1,0,6076
2,1,0,6076
2,1,0,6146
2,1,0,6076
2,1,0,6216
2,1,0,6146
2,1,0,6077
2,1,0,6076
2,1,0,6076
2,1,0,6146
5,3,0,9359
5,3,0,8311
5,3,0,7473
5,3,0,17670
5,3,0,7753
5,3,0,15645
5,3,0,7054
5,3,0,6985
5,3,0,15994
5,3,0,7333
5,3,0,7473
5,3,0,16831
5,3,0,16343
5,3,0,8381
5,3,0,7613
5,3,0,7404
5,3,0,7054
5,3,0,7473
5,3,0,8381
5,3,0,7054
5,3,0,7473
5,3,0,7543
5,3,0,7473
5,3,0,7543
5,3,0,7613
5,3,0,7403
5,3,0,7403
5,3,0,7473
5,3,0,7543
5,3,0,7473
5,3,0,7403
5,3,0,7473
5,3,0,7473
5,3,0,7403
5,3,0,7473
5,3,0,7543
5,3,0,7403
5,3,0,7473
5,3,0,7473
5,3,0,7473
5,3,0,7054
5,3,0,7473
5,3,0,7473
5,3,0,7543
5,3,0,7473
5,3,0,6915
5,3,0,6984
5,3,0,6914
5,3,0,7473
5,3,0,7334
5,3,0,7403
5,3,0,7124
5,3,0,7543
5,3,0,7473
5,3,0,7403
5,3,0,7403
5,3,0,7473
5,3,0,7403
5,3,0,7543
5,3,0,7263
5,3,0,7404
5,3,0,7403
5,3,0,7543
5,3,0,7473
5,3,0,7683
5,3,0,7333
5,3,0,7403
5,3,0,7403
5,3,0,7404
5,3,0,7473
5,3,0,7473
5,3,0,7334
5,3,0,7403
5,3,0,7403
5,3,0,7473
5,3,0,7473
5,3,0,7473
5,3,0,7263
5,3,0,7403
5,3,0,7472
5,3,0,7473
5,3,0,7403
5,3,0,7404
5,3,0,7403
5,3,0,7473
5,3,0,7543
5,3,0,7473
5,3,0,7403
5,3,0,7473
5,3,0,7403
5,3,0,7403
5,3,0,6984
5,3,0,7333
5,3,0,7473
5,3,0,7473
5,3,0,7542
5,3,0,7473
5,3,0,7194
5,3,0,7403
5,3,0,7403
7,5,0,10266
7,5,0,8451
7,5,0,8799
7,5,0,17250
7,5,0,16971
7,5,0,8381
7,5,0,8730
7,5,0,17739
7,5,0,8800
7,5,0,18158
7,5,0,18158
7,5,0,9149
7,5,0,8940
7,5,0,8590
7,5,0,8660
7,5,0,8661
7,5,0,8800
7,5,0,8800
7,5,0,8800
7,5,0,8730
7,5,0,8660
7,5,0,8661
7,5,0,8730
7,5,0,8591
7,5,0,8730
7,5,0,8590
7,5,0,23327
7,5,0,9358
7,5,0,9149
7,5,0,8172
7,5,0,8730
7,5,0,8660
7,5,0,17041
7,5,0,8870
7,5,0,8870
7,5,0,8940
7,5,0,8940
7,5,0,8870
7,5,0,8940
7,5,0,8870
7,5,0,8940
7,5,0,8870
7,5,0,8590
7,5,0,8940
7,5,0,8800
7,5,0,8730
7,5,0,9009
7,5,0,8800
7,5,0,8870
7,5,0,8869
7,5,0,8869
7,5,0,8870
7,5,0,8590
7,5,0,8870
7,5,0,8870
7,5,0,8451
7,5,0,9009
7,5,0,8869
7,5,0,8381
7,5,0,8940
7,5,0,8800
7,5,0,8381
7,5,0,8940
7,5,0,8800
7,5,0,8451
7,5,0,8800
7,5,0,8939
7,5,0,8590
7,5,0,8869
7,5,0,8730
7,5,0,8660
7,5,0,8869
7,5,0,8800
7,5,0,8590
7,5,0,8870
7,5,0,8939
7,5,0,8450
7,5,0,8869
7,5,0,8800
7,5,0,8451
7,5,0,8800
7,5,0,8800
7,5,0,8521
7,5,0,8940
7,5,0,8870
7,5,0,8381
7,5,0,8870
7,5,0,8870
7,5,0,8381
7,5,0,8870
7,5,0,8870
7,5,0,8450
7,5,0,8869
7,5,0,8869
7,5,0,8450
7,5,0,8800
7,5,0,8800
7,5,0,8660
7,5,0,8939
7,5,0,9149
11,9,0,11594
11,9,0,11803
11,9,0,9778
11,9,0,10336
11,9,0,10196
