n,m,ns
2,0,16901
2,0,10965
2,0,8939
2,0,9079
2,0,8590
2,0,8031
2,0,9149
2,0,8730
2,0,7542
2,0,9079
2,0,7892
2,0,8102
2,0,7753
2,0,7892
2,0,8521
2,0,8731
2,0,8660
2,0,8869
2,0,8869
2,0,8870
2,0,8172
2,0,8940
2,0,8870
2,0,8800
2,0,8939
2,0,8869
2,0,8870
2,0,8870
2,0,8800
2,0,8870
2,0,8940
2,0,8800
2,0,7543
2,0,8521
2,0,8661
2,0,8590
2,0,8590
2,0,7752
2,0,8730
2,0,8939
2,0,8380
2,0,7823
2,0,8451
2,0,8311
2,0,8660
2,0,8031
2,0,8520
2,0,8590
2,0,7892
2,0,8660
2,0,8590
2,0,8450
2,0,8520
2,0,8661
2,0,8381
2,0,8451
2,0,8591
2,0,8591
2,0,8660
2,0,8660
2,0,8660
2,0,8661
2,0,8660
2,0,8730
2,0,8591
2,0,8660
2,0,8381
2,0,8800
2,0,8590
2,0,8451
2,0,8450
2,0,8451
2,0,8520
2,0,8590
2,0,8451
2,0,7961
2,0,8800
2,0,8730
2,0,8032
2,0,8730
2,0,8311
2,0,8870
2,0,8869
2,0,8730
2,0,8799
2,0,8800
2,0,8800
2,0,8101
2,0,8870
2,0,8800
2,0,8731
2,0,8730
2,0,8660
2,0,8661
2,0,8521
2,0,8521
2,0,8451
2,0,8451
2,0,8660
2,0,8520
2,1,9987
2,1,10127
2,1,8730
2,1,7752
2,1,8242
2,1,7892
2,1,8800
2,1,9289
2,1,7403
2,1,7612
2,1,8242
2,1,7892
2,1,9010
2,1,8032
2,1,8520
2,1,8451
2,1,8101
2,1,8870
2,1,8730
2,1,8660
2,1,7473
2,1,8730
2,1,8799
2,1,8521
2,1,8660
2,1,8311
2,1,8730
2,1,8869
2,1,8660
2,1,8730
2,1,8660
2,1,8940
2,1,8939
2,1,8660
2,1,8171
2,1,8381
2,1,8730
2,1,8730
2,1,8730
2,1,8800
2,1,7962
2,1,8102
2,1,7892
2,1,8590
2,1,8591
2,1,8311
2,1,8660
2,1,9010
2,1,9010
2,1,9079
2,1,9009
2,1,10057
2,1,8730
2,1,8031
2,1,9917
2,1,8730
